Customer,Customer Name,Customer Account Group Code,Customer account group Text,Country,Country Text,Location,CITY,Language key,Source System,TIS Final Segmenation,Customer Combined,Final Customer,Final Name,Final Location,GPO Combined
100011,Universitätsklinikum Essen,Z001,Hospital,DE,Central Europe,Essen,Essen,de,SAP,University Hospital,100011 - Universitätsklinikum Essen,100011,Universitätsklinikum Essen,Essen,
100012,Klinikum Freiburg,Z001,Hospital,DE,Central Europe,Freiburg,Freiburg,de,SAP,University Hospital,100012 - Klinikum Freiburg,100012,Klinikum Freiburg,Freiburg,
100013,CHU Paris,Z001,Hospital,FR,Western Europe,Paris,Paris,fr,SAP,University Hospital,100013 - CHU Paris,100013,CHU Paris,Paris,
100014,Hôpital Lyon,Z001,Hospital,FR,Western Europe,Lyon,Lyon,fr,SAP,Public Hospital,100014 - Hôpital Lyon,100014,Hôpital Lyon,Lyon,
100015,Clinique Marseille,Z001,Hospital,FR,Western Europe,Marseille,Marseille,fr,SAP,Private Clinic,100015 - Clinique Marseille,100015,Clinique Marseille,Marseille,
100016,Centre Cardiologique Toulouse,Z001,Hospital,FR,Western Europe,Toulouse,Toulouse,fr,SAP,University Hospital,100016 - Centre Cardiologique Toulouse,100016,Centre Cardiologique Toulouse,Toulouse,
100017,Institut Cardiovasculaire Bordeaux,Z001,Hospital,FR,Western Europe,Bordeaux,Bordeaux,fr,SAP,University Hospital,100017 - Institut Cardiovasculaire Bordeaux,100017,Institut Cardiovasculaire Bordeaux,Bordeaux,
100018,CHU Lille,Z001,Hospital,FR,Western Europe,Lille,Lille,fr,SAP,University Hospital,100018 - CHU Lille,100018,CHU Lille,Lille,
100019,Hôpital Strasbourg,Z001,Hospital,FR,Western Europe,Strasbourg,Strasbourg,fr,SAP,Heart Center,100019 - Hôpital Strasbourg,100019,Hôpital Strasbourg,Strasbourg,
100020,Clinique Nantes,Z001,Hospital,FR,Western Europe,Nantes,Nantes,fr,SAP,Private Clinic,100020 - Clinique Nantes,100020,Clinique Nantes,Nantes,
100021,Centre Cardiologique Rennes,Z001,Hospital,FR,Western Europe,Rennes,Rennes,fr,SAP,University Hospital,100021 - Centre Cardiologique Rennes,100021,Centre Cardiologique Rennes,Rennes,
100022,Institut Cardiovasculaire Montpellier,Z001,Hospital,FR,Western Europe,Montpellier,Montpellier,fr,SAP,University Hospital,100022 - Institut Cardiovasculaire Montpellier,100022,Institut Cardiovasculaire Montpellier,Montpellier,
100023,CHU Grenoble,Z001,Hospital,FR,Western Europe,Grenoble,Grenoble,fr,SAP,University Hospital,100023 - CHU Grenoble,100023,CHU Grenoble,Grenoble,
100024,Hôpital Nice,Z001,Hospital,FR,Western Europe,Nice,Nice,fr,SAP,Private Clinic,100024 - Hôpital Nice,100024,Hôpital Nice,Nice,
100025,Royal London,Z001,Hospital,GB,Northern Europe,London,London,gb,SAP,Private Clinic,100025 - Royal London,100025,Royal London,London,
100026,St. Thomas' Manchester,Z001,Hospital,GB,Northern Europe,Manchester,Manchester,gb,SAP,Public Hospital,100026 - St. Thomas' Manchester,100026,St. Thomas' Manchester,Manchester,
100027,University Hospital Birmingham,Z001,Hospital,GB,Northern Europe,Birmingham,Birmingham,gb,SAP,University Hospital,100027 - University Hospital Birmingham,100027,University Hospital Birmingham,Birmingham,
100028,Queen Elizabeth Leeds,Z001,Hospital,GB,Northern Europe,Leeds,Leeds,gb,SAP,Private Clinic,100028 - Queen Elizabeth Leeds,100028,Queen Elizabeth Leeds,Leeds,
100029,King's College Liverpool,Z001,Hospital,GB,Northern Europe,Liverpool,Liverpool,gb,SAP,University Hospital,100029 - King's College Liverpool,100029,King's College Liverpool,Liverpool,
100030,Royal Bristol,Z001,Hospital,GB,Northern Europe,Bristol,Bristol,gb,SAP,University Hospital,100030 - Royal Bristol,100030,Royal Bristol,Bristol,
100031,St. Thomas' Oxford,Z001,Hospital,GB,Northern Europe,Oxford,Oxford,gb,SAP,Heart Center,100031 - St. Thomas' Oxford,100031,St. Thomas' Oxford,Oxford,
100032,University Hospital Cambridge,Z001,Hospital,GB,Northern Europe,Cambridge,Cambridge,gb,SAP,University Hospital,100032 - University Hospital Cambridge,100032,University Hospital Cambridge,Cambridge,
100033,Queen Elizabeth Edinburgh,Z001,Hospital,GB,Northern Europe,Edinburgh,Edinburgh,gb,SAP,Private Clinic,100033 - Queen Elizabeth Edinburgh,100033,Queen Elizabeth Edinburgh,Edinburgh,
100034,King's College Glasgow,Z001,Hospital,GB,Northern Europe,Glasgow,Glasgow,gb,SAP,Private Clinic,100034 - King's College Glasgow,100034,King's College Glasgow,Glasgow,
100035,Royal Cardiff,Z001,Hospital,GB,Northern Europe,Cardiff,Cardiff,gb,SAP,Private Clinic,100035 - Royal Cardiff,100035,Royal Cardiff,Cardiff,
100036,St. Thomas' Brighton,Z001,Hospital,GB,Northern Europe,Brighton,Brighton,gb,SAP,University Hospital,100036 - St. Thomas' Brighton,100036,St. Thomas' Brighton,Brighton,
100037,Ospedale Milan,Z001,Hospital,IT,Southern Europe,Milan,Milan,it,SAP,Heart Center,100037 - Ospedale Milan,100037,Ospedale Milan,Milan,
100038,Policlinico Rome,Z001,Hospital,IT,Southern Europe,Rome,Rome,it,SAP,University Hospital,100038 - Policlinico Rome,100038,Policlinico Rome,Rome,
100039,Centro Cardiologico Naples,Z001,Hospital,IT,Southern Europe,Naples,Naples,it,SAP,University Hospital,100039 - Centro Cardiologico Naples,100039,Centro Cardiologico Naples,Naples,
100040,Istituto Clinico Turin,Z001,Hospital,IT,Southern Europe,Turin,Turin,it,SAP,University Hospital,100040 - Istituto Clinico Turin,100040,Istituto Clinico Turin,Turin,
100041,Fondazione Florence,Z001,Hospital,IT,Southern Europe,Florence,Florence,it,SAP,Private Clinic,100041 - Fondazione Florence,100041,Fondazione Florence,Florence,
100042,Ospedale Bologna,Z001,Hospital,IT,Southern Europe,Bologna,Bologna,it,SAP,Private Clinic,100042 - Ospedale Bologna,100042,Ospedale Bologna,Bologna,
100043,Policlinico Genoa,Z001,Hospital,IT,Southern Europe,Genoa,Genoa,it,SAP,Public Hospital,100043 - Policlinico Genoa,100043,Policlinico Genoa,Genoa,
100044,Centro Cardiologico Padua,Z001,Hospital,IT,Southern Europe,Padua,Padua,it,SAP,University Hospital,100044 - Centro Cardiologico Padua,100044,Centro Cardiologico Padua,Padua,
100045,Istituto Clinico Verona,Z001,Hospital,IT,Southern Europe,Verona,Verona,it,SAP,University Hospital,100045 - Istituto Clinico Verona,100045,Istituto Clinico Verona,Verona,
100046,Fondazione Catania,Z001,Hospital,IT,Southern Europe,Catania,Catania,it,SAP,Public Hospital,100046 - Fondazione Catania,100046,Fondazione Catania,Catania,
100047,Ospedale Bari,Z001,Hospital,IT,Southern Europe,Bari,Bari,it,SAP,Private Clinic,100047 - Ospedale Bari,100047,Ospedale Bari,Bari,
100048,Policlinico Palermo,Z001,Hospital,IT,Southern Europe,Palermo,Palermo,it,SAP,University Hospital,100048 - Policlinico Palermo,100048,Policlinico Palermo,Palermo,
100049,Hospital Universitario Madrid,Z001,Hospital,ES,Southern Europe,Madrid,Madrid,es,SAP,University Hospital,100049 - Hospital Universitario Madrid,100049,Hospital Universitario Madrid,Madrid,
100050,Clínica Barcelona,Z001,Hospital,ES,Southern Europe,Barcelona,Barcelona,es,SAP,Private Clinic,100050 - Clínica Barcelona,100050,Clínica Barcelona,Barcelona,
100051,Hospital General Valencia,Z001,Hospital,ES,Southern Europe,Valencia,Valencia,es,SAP,Heart Center,100051 - Hospital General Valencia,100051,Hospital General Valencia,Valencia,
100052,Centro Médico Seville,Z001,Hospital,ES,Southern Europe,Seville,Seville,es,SAP,Private Clinic,100052 - Centro Médico Seville,100052,Centro Médico Seville,Seville,
100053,Hospital Clínic Bilbao,Z001,Hospital,ES,Southern Europe,Bilbao,Bilbao,es,SAP,Heart Center,100053 - Hospital Clínic Bilbao,100053,Hospital Clínic Bilbao,Bilbao,
100054,Hospital Universitario Malaga,Z001,Hospital,ES,Southern Europe,Malaga,Malaga,es,SAP,University Hospital,100054 - Hospital Universitario Malaga,100054,Hospital Universitario Malaga,Malaga,
100055,Clínica Zaragoza,Z001,Hospital,ES,Southern Europe,Zaragoza,Zaragoza,es,SAP,Private Clinic,100055 - Clínica Zaragoza,100055,Clínica Zaragoza,Zaragoza,
100056,Hospital General Murcia,Z001,Hospital,ES,Southern Europe,Murcia,Murcia,es,SAP,Private Clinic,100056 - Hospital General Murcia,100056,Hospital General Murcia,Murcia,
100057,Centro Médico Santiago,Z001,Hospital,ES,Southern Europe,Santiago,Santiago,es,SAP,Private Clinic,100057 - Centro Médico Santiago,100057,Centro Médico Santiago,Santiago,
100058,Hospital Clínic Valladolid,Z001,Hospital,ES,Southern Europe,Valladolid,Valladolid,es,SAP,Public Hospital,100058 - Hospital Clínic Valladolid,100058,Hospital Clínic Valladolid,Valladolid,
100059,Hospital Universitario Salamanca,Z001,Hospital,ES,Southern Europe,Salamanca,Salamanca,es,SAP,University Hospital,100059 - Hospital Universitario Salamanca,100059,Hospital Universitario Salamanca,Salamanca,
100060,Clínica Granada,Z001,Hospital,ES,Southern Europe,Granada,Granada,es,SAP,Private Clinic,100060 - Clínica Granada,100060,Clínica Granada,Granada,
100061,AMC Amsterdam,Z001,Hospital,NL,Western Europe,Amsterdam,Amsterdam,nl,SAP,Public Hospital,100061 - AMC Amsterdam,100061,AMC Amsterdam,Amsterdam,
100062,Erasmus MC Rotterdam,Z001,Hospital,NL,Western Europe,Rotterdam,Rotterdam,nl,SAP,Public Hospital,100062 - Erasmus MC Rotterdam,100062,Erasmus MC Rotterdam,Rotterdam,
100063,UMC Utrecht,Z001,Hospital,NL,Western Europe,Utrecht,Utrecht,nl,SAP,Public Hospital,100063 - UMC Utrecht,100063,UMC Utrecht,Utrecht,
100064,Catharina Ziekenhuis Eindhoven,Z001,Hospital,NL,Western Europe,Eindhoven,Eindhoven,nl,SAP,Heart Center,100064 - Catharina Ziekenhuis Eindhoven,100064,Catharina Ziekenhuis Eindhoven,Eindhoven,
100065,Sint Antonius Groningen,Z001,Hospital,NL,Western Europe,Groningen,Groningen,nl,SAP,Heart Center,100065 - Sint Antonius Groningen,100065,Sint Antonius Groningen,Groningen,
100066,AMC Nijmegen,Z001,Hospital,NL,Western Europe,Nijmegen,Nijmegen,nl,SAP,Private Clinic,100066 - AMC Nijmegen,100066,AMC Nijmegen,Nijmegen,
100067,Erasmus MC Leiden,Z001,Hospital,NL,Western Europe,Leiden,Leiden,nl,SAP,Public Hospital,100067 - Erasmus MC Leiden,100067,Erasmus MC Leiden,Leiden,
100068,UMC Maastricht,Z001,Hospital,NL,Western Europe,Maastricht,Maastricht,nl,SAP,Private Clinic,100068 - UMC Maastricht,100068,UMC Maastricht,Maastricht,
100069,Catharina Ziekenhuis Tilburg,Z001,Hospital,NL,Western Europe,Tilburg,Tilburg,nl,SAP,University Hospital,100069 - Catharina Ziekenhuis Tilburg,100069,Catharina Ziekenhuis Tilburg,Tilburg,
100070,Sint Antonius Den Haag,Z001,Hospital,NL,Western Europe,Den Haag,Den Haag,nl,SAP,Public Hospital,100070 - Sint Antonius Den Haag,100070,Sint Antonius Den Haag,Den Haag,
100071,AMC Breda,Z001,Hospital,NL,Western Europe,Breda,Breda,nl,SAP,University Hospital,100071 - AMC Breda,100071,AMC Breda,Breda,
100072,Erasmus MC Arnhem,Z001,Hospital,NL,Western Europe,Arnhem,Arnhem,nl,SAP,Private Clinic,100072 - Erasmus MC Arnhem,100072,Erasmus MC Arnhem,Arnhem,
100073,UZ Brussels,Z001,Hospital,BE,Western Europe,Brussels,Brussels,be,SAP,Heart Center,100073 - UZ Brussels,100073,UZ Brussels,Brussels,
100074,CHU Antwerp,Z001,Hospital,BE,Western Europe,Antwerp,Antwerp,be,SAP,University Hospital,100074 - CHU Antwerp,100074,CHU Antwerp,Antwerp,
100075,AZ Ghent,Z001,Hospital,BE,Western Europe,Ghent,Ghent,be,SAP,University Hospital,100075 - AZ Ghent,100075,AZ Ghent,Ghent,
100076,OLV Ziekenhuis Leuven,Z001,Hospital,BE,Western Europe,Leuven,Leuven,be,SAP,Public Hospital,100076 - OLV Ziekenhuis Leuven,100076,OLV Ziekenhuis Leuven,Leuven,
100077,Cliniques Universitaires Liège,Z001,Hospital,BE,Western Europe,Liège,Liège,be,SAP,University Hospital,100077 - Cliniques Universitaires Liège,100077,Cliniques Universitaires Liège,Liège,
100078,UZ Bruges,Z001,Hospital,BE,Western Europe,Bruges,Bruges,be,SAP,Public Hospital,100078 - UZ Bruges,100078,UZ Bruges,Bruges,
100079,CHU Charleroi,Z001,Hospital,BE,Western Europe,Charleroi,Charleroi,be,SAP,University Hospital,100079 - CHU Charleroi,100079,CHU Charleroi,Charleroi,
100080,AZ Namur,Z001,Hospital,BE,Western Europe,Namur,Namur,be,SAP,Heart Center,100080 - AZ Namur,100080,AZ Namur,Namur,
100081,OLV Ziekenhuis Hasselt,Z001,Hospital,BE,Western Europe,Hasselt,Hasselt,be,SAP,Heart Center,100081 - OLV Ziekenhuis Hasselt,100081,OLV Ziekenhuis Hasselt,Hasselt,
100082,Cliniques Universitaires Mechelen,Z001,Hospital,BE,Western Europe,Mechelen,Mechelen,be,SAP,University Hospital,100082 - Cliniques Universitaires Mechelen,100082,Cliniques Universitaires Mechelen,Mechelen,
100083,UZ Kortrijk,Z001,Hospital,BE,Western Europe,Kortrijk,Kortrijk,be,SAP,Private Clinic,100083 - UZ Kortrijk,100083,UZ Kortrijk,Kortrijk,
100084,CHU Mons,Z001,Hospital,BE,Western Europe,Mons,Mons,be,SAP,University Hospital,100084 - CHU Mons,100084,CHU Mons,Mons,
100085,Szpital Kliniczny Warsaw,Z001,Hospital,PL,Eastern Europe,Warsaw,Warsaw,pl,SAP,Public Hospital,100085 - Szpital Kliniczny Warsaw,100085,Szpital Kliniczny Warsaw,Warsaw,
100086,Instytut Kardiologii Krakow,Z001,Hospital,PL,Eastern Europe,Krakow,Krakow,pl,SAP,Private Clinic,100086 - Instytut Kardiologii Krakow,100086,Instytut Kardiologii Krakow,Krakow,
100087,Centrum Medyczne Wroclaw,Z001,Hospital,PL,Eastern Europe,Wroclaw,Wroclaw,pl,SAP,Heart Center,100087 - Centrum Medyczne Wroclaw,100087,Centrum Medyczne Wroclaw,Wroclaw,
100088,Szpital Wojewódzki Poznan,Z001,Hospital,PL,Eastern Europe,Poznan,Poznan,pl,SAP,Heart Center,100088 - Szpital Wojewódzki Poznan,100088,Szpital Wojewódzki Poznan,Poznan,
100089,Klinika Kardiochirurgii Gdansk,Z001,Hospital,PL,Eastern Europe,Gdansk,Gdansk,pl,SAP,Private Clinic,100089 - Klinika Kardiochirurgii Gdansk,100089,Klinika Kardiochirurgii Gdansk,Gdansk,
100090,Szpital Kliniczny Katowice,Z001,Hospital,PL,Eastern Europe,Katowice,Katowice,pl,SAP,Public Hospital,100090 - Szpital Kliniczny Katowice,100090,Szpital Kliniczny Katowice,Katowice,
100091,Instytut Kardiologii Lodz,Z001,Hospital,PL,Eastern Europe,Lodz,Lodz,pl,SAP,Public Hospital,100091 - Instytut Kardiologii Lodz,100091,Instytut Kardiologii Lodz,Lodz,
100092,Centrum Medyczne Lublin,Z001,Hospital,PL,Eastern Europe,Lublin,Lublin,pl,SAP,Heart Center,100092 - Centrum Medyczne Lublin,100092,Centrum Medyczne Lublin,Lublin,
100093,Szpital Wojewódzki Bialystok,Z001,Hospital,PL,Eastern Europe,Bialystok,Bialystok,pl,SAP,University Hospital,100093 - Szpital Wojewódzki Bialystok,100093,Szpital Wojewódzki Bialystok,Bialystok,
100094,Klinika Kardiochirurgii Szczecin,Z001,Hospital,PL,Eastern Europe,Szczecin,Szczecin,pl,SAP,University Hospital,100094 - Klinika Kardiochirurgii Szczecin,100094,Klinika Kardiochirurgii Szczecin,Szczecin,
100095,Szpital Kliniczny Bydgoszcz,Z001,Hospital,PL,Eastern Europe,Bydgoszcz,Bydgoszcz,pl,SAP,University Hospital,100095 - Szpital Kliniczny Bydgoszcz,100095,Szpital Kliniczny Bydgoszcz,Bydgoszcz,
100096,Instytut Kardiologii Rzeszow,Z001,Hospital,PL,Eastern Europe,Rzeszow,Rzeszow,pl,SAP,Public Hospital,100096 - Instytut Kardiologii Rzeszow,100096,Instytut Kardiologii Rzeszow,Rzeszow,
100097,Üniversitesi Hastanesi Istanbul,Z001,Hospital,TR,MENA,Istanbul,Istanbul,tr,SAP,Public Hospital,100097 - Üniversitesi Hastanesi Istanbul,100097,Üniversitesi Hastanesi Istanbul,Istanbul,
100098,Kalp Merkezi Ankara,Z001,Hospital,TR,MENA,Ankara,Ankara,tr,SAP,Heart Center,100098 - Kalp Merkezi Ankara,100098,Kalp Merkezi Ankara,Ankara,
100099,Devlet Hastanesi Izmir,Z001,Hospital,TR,MENA,Izmir,Izmir,tr,SAP,University Hospital,100099 - Devlet Hastanesi Izmir,100099,Devlet Hastanesi Izmir,Izmir,
100100,Eğitim Araştırma Antalya,Z001,Hospital,TR,MENA,Antalya,Antalya,tr,SAP,Heart Center,100100 - Eğitim Araştırma Antalya,100100,Eğitim Araştırma Antalya,Antalya,
100101,Özel Hastane Bursa,Z001,Hospital,TR,MENA,Bursa,Bursa,tr,SAP,Private Clinic,100101 - Özel Hastane Bursa,100101,Özel Hastane Bursa,Bursa,
100102,Üniversitesi Hastanesi Adana,Z001,Hospital,TR,MENA,Adana,Adana,tr,SAP,Heart Center,100102 - Üniversitesi Hastanesi Adana,100102,Üniversitesi Hastanesi Adana,Adana,
100103,Kalp Merkezi Konya,Z001,Hospital,TR,MENA,Konya,Konya,tr,SAP,Private Clinic,100103 - Kalp Merkezi Konya,100103,Kalp Merkezi Konya,Konya,
100104,Devlet Hastanesi Gaziantep,Z001,Hospital,TR,MENA,Gaziantep,Gaziantep,tr,SAP,University Hospital,100104 - Devlet Hastanesi Gaziantep,100104,Devlet Hastanesi Gaziantep,Gaziantep,
100105,Eğitim Araştırma Mersin,Z001,Hospital,TR,MENA,Mersin,Mersin,tr,SAP,University Hospital,100105 - Eğitim Araştırma Mersin,100105,Eğitim Araştırma Mersin,Mersin,
100106,Özel Hastane Kayseri,Z001,Hospital,TR,MENA,Kayseri,Kayseri,tr,SAP,Private Clinic,100106 - Özel Hastane Kayseri,100106,Özel Hastane Kayseri,Kayseri,
100107,Üniversitesi Hastanesi Eskisehir,Z001,Hospital,TR,MENA,Eskisehir,Eskisehir,tr,SAP,Private Clinic,100107 - Üniversitesi Hastanesi Eskisehir,100107,Üniversitesi Hastanesi Eskisehir,Eskisehir,
100108,Kalp Merkezi Trabzon,Z001,Hospital,TR,MENA,Trabzon,Trabzon,tr,SAP,University Hospital,100108 - Kalp Merkezi Trabzon,100108,Kalp Merkezi Trabzon,Trabzon,
100109,Karolinska Stockholm,Z001,Hospital,SE,Northern Europe,Stockholm,Stockholm,se,SAP,University Hospital,100109 - Karolinska Stockholm,100109,Karolinska Stockholm,Stockholm,
100110,Sahlgrenska Gothenburg,Z001,Hospital,SE,Northern Europe,Gothenburg,Gothenburg,se,SAP,Heart Center,100110 - Sahlgrenska Gothenburg,100110,Sahlgrenska Gothenburg,Gothenburg,
100111,Skånes Universitetssjukhus Malmö,Z001,Hospital,SE,Northern Europe,Malmö,Malmö,se,SAP,University Hospital,100111 - Skånes Universitetssjukhus Malmö,100111,Skånes Universitetssjukhus Malmö,Malmö,
100112,Uppsala Akademiska Uppsala,Z001,Hospital,SE,Northern Europe,Uppsala,Uppsala,se,SAP,Heart Center,100112 - Uppsala Akademiska Uppsala,100112,Uppsala Akademiska Uppsala,Uppsala,
100113,Danderyds sjukhus Linköping,Z001,Hospital,SE,Northern Europe,Linköping,Linköping,se,SAP,University Hospital,100113 - Danderyds sjukhus Linköping,100113,Danderyds sjukhus Linköping,Linköping,
100114,Karolinska Örebro,Z001,Hospital,SE,Northern Europe,Örebro,Örebro,se,SAP,University Hospital,100114 - Karolinska Örebro,100114,Karolinska Örebro,Örebro,
100115,Sahlgrenska Lund,Z001,Hospital,SE,Northern Europe,Lund,Lund,se,SAP,Public Hospital,100115 - Sahlgrenska Lund,100115,Sahlgrenska Lund,Lund,
100116,Skånes Universitetssjukhus Umeå,Z001,Hospital,SE,Northern Europe,Umeå,Umeå,se,SAP,University Hospital,100116 - Skånes Universitetssjukhus Umeå,100116,Skånes Universitetssjukhus Umeå,Umeå,
100117,Uppsala Akademiska Västerås,Z001,Hospital,SE,Northern Europe,Västerås,Västerås,se,SAP,Private Clinic,100117 - Uppsala Akademiska Västerås,100117,Uppsala Akademiska Västerås,Västerås,
100118,Danderyds sjukhus Karlstad,Z001,Hospital,SE,Northern Europe,Karlstad,Karlstad,se,SAP,Public Hospital,100118 - Danderyds sjukhus Karlstad,100118,Danderyds sjukhus Karlstad,Karlstad,
100119,Karolinska Jönköping,Z001,Hospital,SE,Northern Europe,Jönköping,Jönköping,se,SAP,University Hospital,100119 - Karolinska Jönköping,100119,Karolinska Jönköping,Jönköping,
100120,Sahlgrenska Norrköping,Z001,Hospital,SE,Northern Europe,Norrköping,Norrköping,se,SAP,Private Clinic,100120 - Sahlgrenska Norrköping,100120,Sahlgrenska Norrköping,Norrköping,
